classifier,score_name,scoring,scoring avg,data
Nearest Neighbors,roc_auc_ovr_weighted,[0.51818182 0.04819277 0.02838137 0.25044346 0.51829268],0.2726984211791735,individuals per player
Nearest Neighbors,roc_auc_ovo_weighted,[0.51818182 0.04819277 0.02838137 0.25044346 0.51829268],0.2726984211791735,individuals per player
Gaussian Process,accuracy,[0.60144928 0.27007299 0.28467153 0.2189781  0.40145985],0.35532635142282876,individuals per player
Gaussian Process,balanced_accuracy,[0.5        0.22289157 0.32461197 0.24578714 0.5       ],0.35865813586942,individuals per player
Gaussian Process,average_precision,[0.90331398 0.25035202 0.25691297 0.27164701 0.41757781],0.4199607568294068,individuals per player
Gaussian Process,neg_brier_score,[-0.37455658 -0.56540931 -0.59060288 -0.64173092 -0.4414302 ],-0.5227459801927228,individuals per player
Gaussian Process,f1,[0.         0.         0.37179487 0.28187919 0.57291667],0.24531814661848222,individuals per player
Gaussian Process,f1_micro,[0.60144928 0.27007299 0.28467153 0.2189781  0.40145985],0.35532635142282876,individuals per player
Gaussian Process,f1_macro,[0.37556561 0.21264368 0.2706432  0.2129396  0.28645833],0.27165008365574356,individuals per player
Gaussian Process,f1_weighted,[0.45176733 0.25765584 0.2507082  0.19935296 0.23000304],0.27789747453029306,individuals per player
Gaussian Process,neg_log_loss,[-1.62411011 -1.75611152 -1.83458472 -2.05405897 -1.21085533],-1.6959441287866899,individuals per player
Gaussian Process,precision,[0.         0.         0.28712871 0.22340426 0.40145985],0.18239856444100694,individuals per player
Gaussian Process,recall,[0.         0.         0.52727273 0.38181818 1.        ],0.38181818181818183,individuals per player
Gaussian Process,jaccard,[0.         0.         0.22834646 0.1640625  0.40145985],0.1587737621415024,individuals per player
Gaussian Process,roc_auc,[0.88871851 0.12806783 0.12239468 0.19689579 0.54323725],0.37586281069090355,individuals per player
Gaussian Process,roc_auc_ovr,[0.88871851 0.12806783 0.12239468 0.19689579 0.54323725],0.37586281069090355,individuals per player
Gaussian Process,roc_auc_ovo,[0.88871851 0.12806783 0.12239468 0.19689579 0.54323725],0.37586281069090355,individuals per player
Gaussian Process,roc_auc_ovr_weighted,[0.88871851 0.12806783 0.12239468 0.19689579 0.54323725],0.37586281069090355,individuals per player
Gaussian Process,roc_auc_ovo_weighted,[0.88871851 0.12806783 0.12239468 0.19689579 0.54323725],0.37586281069090355,individuals per player
Decision Tree,accuracy,[0.60144928 0.08759124 0.29927007 0.22627737 0.41605839],0.326129271130858,individuals per player
Decision Tree,balanced_accuracy,[0.5        0.07228916 0.36075388 0.2518847  0.51219512],0.3394245719017979,individuals per player
Decision Tree,average_precision,[0.39855072 0.39416058 0.3422099  0.33439219 0.40740741],0.3753441607105402,individuals per player
Decision Tree,neg_brier_score,[-0.39855072 -0.91867877 -0.76463446 -0.77372263 -0.58576642],-0.6882706008580299,individuals per player
Decision Tree,f1,[0.         0.         0.43529412 0.28378378 0.57894737],0.25960505397037903,individuals per player
Decision Tree,f1_micro,[0.60144928 0.08759124 0.29927007 0.22627737 0.41605839],0.326129271130858,individuals per player
Decision Tree,f1_macro,[0.37556561 0.08053691 0.2561086  0.22125697 0.31328321],0.24935026003469912,individuals per player
Decision Tree,f1_weighted,[0.45176733 0.09758487 0.22079466 0.20893417 0.26092604],0.2480014141031675,individuals per player
Decision Tree,neg_log_loss,[-13.76545436 -31.53893864 -24.38644505 -26.72385306 -20.17415494],-23.31776920874649,individuals per player
Decision Tree,precision,[0.         0.         0.32173913 0.22580645 0.40740741],0.19099059789101863,individuals per player
Decision Tree,recall,[0.         0.         0.67272727 0.38181818 1.        ],0.41090909090909095,individuals per player
Decision Tree,jaccard,[0.         0.         0.27819549 0.16535433 0.40740741],0.17019144536757466,individuals per player
Decision Tree,roc_auc,[0.5        0.0060241  0.03481153 0.2518847  0.51219512],0.2609830897870863,individuals per player
Decision Tree,roc_auc_ovr,[0.5        0.0060241  0.03481153 0.2518847  0.51219512],0.2609830897870863,individuals per player
Decision Tree,roc_auc_ovo,[0.5        0.0060241  0.03481153 0.2518847  0.51219512],0.2609830897870863,individuals per player
Decision Tree,roc_auc_ovr_weighted,[0.5        0.0060241  0.03481153 0.2518847  0.51219512],0.2609830897870863,individuals per player
Decision Tree,roc_auc_ovo_weighted,[0.5        0.0060241  0.03481153 0.2518847  0.51219512],0.2609830897870863,individuals per player
Random Forest,accuracy,[0.60144928 0.53284672 0.43065693 0.30656934 0.4379562 ],0.46189569448852225,individuals per player
Random Forest,balanced_accuracy,[0.5        0.43975904 0.45254989 0.3578714  0.52450111],0.45493628616461407,individuals per player
Random Forest,average_precision,[0.50415184 0.24677578 0.36371303 0.37930839 0.4769164 ],0.3941730895267352,individuals per player
Random Forest,neg_brier_score,[-0.35796764 -0.3719847  -0.31747594 -0.39818376 -0.37090992],-0.3633043907082087,individuals per player
Random Forest,f1,[0.         0.         0.44285714 0.41717791 0.57923497],0.2878540059290336,individuals per player
Random Forest,f1_micro,[0.60144928 0.53284672 0.43065693 0.30656934 0.4379562 ],0.46189569448852225,individuals per player
Random Forest,f1_macro,[0.37556561 0.34761905 0.4303838  0.28066103 0.36654056],0.36015400923542124,individuals per player
Random Forest,f1_weighted,[0.45176733 0.42120264 0.42792554 0.25375624 0.32462269],0.3758548887015741,individuals per player
Random Forest,neg_log_loss,[-4.41874548 -1.04245419 -0.84445561 -1.06583552 -1.01223967],-1.6767460936849439,individuals per player
Random Forest,precision,[0.         0.         0.36470588 0.31481481 0.4140625 ],0.2187166394335512,individuals per player
Random Forest,recall,[0.         0.         0.56363636 0.61818182 0.96363636],0.4290909090909091,individuals per player
Random Forest,jaccard,[0.         0.         0.28440367 0.26356589 0.40769231],0.19113237377798933,individuals per player
Random Forest,roc_auc,[0.60569551 0.03369032 0.41374723 0.3691796  0.58059867],0.40058226500483335,individuals per player
Random Forest,roc_auc_ovr,[0.60569551 0.03369032 0.41374723 0.3691796  0.58059867],0.40058226500483335,individuals per player
Random Forest,roc_auc_ovo,[0.60569551 0.03369032 0.41374723 0.3691796  0.58059867],0.40058226500483335,individuals per player
Random Forest,roc_auc_ovr_weighted,[0.60569551 0.03369032 0.41374723 0.3691796  0.58059867],0.40058226500483335,individuals per player
Random Forest,roc_auc_ovo_weighted,[0.60569551 0.03369032 0.41374723 0.3691796  0.58059867],0.40058226500483335,individuals per player
Neural Net,accuracy,[0.60144928 0.60583942 0.59854015 0.59854015 0.59854015],0.6005818258753834,individuals per player
Neural Net,balanced_accuracy,[0.5 0.5 0.5 0.5 0.5],0.5,individuals per player
Neural Net,average_precision,[0.27830833 0.23336664 0.26852927 0.25127354 0.3853312 ],0.2833617930431688,individuals per player
